file_name,deployment,location,pollutant,timezone,start,end,header_type,,,,,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,TVOC,PDT,10/10/2023 0:00,12/19/2023 22:59,3.1.0,,"Cropped to after daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,,
C8_111023_121423,C,,NotUsing,MST,12/8/2023 10:30,12/14/2023 13:15,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,oldCO,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,cdpheNO2,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C8_111023_121423,C,,oldCO,MST,1/10/2023 0:00,12/14/2023 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,O3,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,BTEX,PDT,11/5/2023 0:00,12/19/2023 23:59,3.1.0,,"Cropped to after daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,,
C24_122023_031024,C,,BTEX,PDT,12/20/2023 0:00,3/9/2024 23:59,3.1.0,,"Cropped to before daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,Temp,PDT,10/27/2023 0:00,12/20/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,PM25,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,CH4,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,NO_2,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,NO,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,CH4,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,Temp,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,PM25,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,NO_2,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_071924_081324,C,,PM25,PDT,7/19/2024 18:00,8/13/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,NO,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C24_122023_031024,C,,TVOC,PDT,12/20/2023 1:00,3/18/2024 23:59,3.1.0,,"Cropped to before daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,H2S,PDT,10/11/2023 0:00,12/19/2023 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA1_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,TZ shift should be zero when doing CO,,,,,,,,,,,,,,,,,,,,,,,
CA2_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CB2_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,C2 was not functioning in the march colocation so I need to use this one for CB chunk,,,,,,,,,,,,,,,,,,,,,,,
CA3_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA4_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA5_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CB5_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,making this the starting point for CB5 because harmon2 was short/messed up for it,,,,,,,,,,,,,,,,,,,,,,,
CA6_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C8_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA9_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA10_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA11_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA13_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA14_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CA15_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
